fault_code,severity,system,component,description,machine_model,possible_causes,diagnostic_steps,estimated_repair_hrs,required_parts,tech_level
E101-3,Critical,Engine,Fuel Injector #3,Fuel injector #3 failed open causing cylinder misfire,Cat 320,Injector solenoid failure; Contaminated fuel; Wiring harness damage; ECM driver fault,1. Check injector resistance; 2. Inspect fuel quality sample; 3. Verify ECM output signal; 4. Check wiring harness continuity,3.5,238-4201,3
E102-1,Warning,Engine,Fuel Injector #5,Fuel injector #5 intermittent delivery below threshold,Cat 330,Clogged injector nozzle; Low fuel pressure; Injector calibration drift,1. Run injector cut-out test; 2. Check fuel rail pressure; 3. Inspect injector nozzle; 4. Recalibrate injector trim,2.0,"238-4201,457-2318",2
E201-2,Critical,Engine,Turbocharger,Turbocharger overboosting above 38 psi limit,Cat 349,Wastegate actuator stuck closed; Boost sensor fault; Turbo bearing wear,1. Check wastegate actuator movement; 2. Verify boost pressure sensor reading; 3. Inspect turbo shaft play; 4. Check exhaust backpressure,4.0,"312-0841,191-5729",3
E202-1,Warning,Engine,Turbocharger,Turbocharger underboost detected during loaded operation,Cat 336,Exhaust leak pre-turbo; Wastegate stuck open; Air intake restriction; Turbo wheel damage,1. Inspect exhaust manifold gaskets; 2. Test wastegate actuator; 3. Check air filter restriction; 4. Inspect compressor wheel,3.0,312-0841,2
E301-1,Warning,Engine,Coolant System,Engine coolant temperature exceeding 210F threshold,Cat 950M,Thermostat stuck closed; Radiator blockage; Water pump impeller wear; Low coolant level,1. Check coolant level; 2. Test thermostat operation; 3. Inspect radiator fins; 4. Check water pump flow rate; 5. Verify fan clutch operation,2.5,"174-6862,220-3091",2
E302-3,Critical,Engine,Coolant Temperature Sensor,Coolant temperature sensor reading erratic causing derate,Cat D6,Sensor internal short; Corroded connector; ECM input circuit fault,1. Check sensor resistance vs temperature; 2. Inspect connector pins; 3. Verify ECM input voltage; 4. Swap with known good sensor,1.0,266-8130,2
E401-2,Warning,Engine,Oil Pressure Sensor,Engine oil pressure reading below 25 psi at operating temp,Cat 966,Oil level low; Oil pump wear; Pressure relief valve stuck; Worn main bearings,1. Verify oil level on dipstick; 2. Install mechanical gauge to cross-check; 3. Check oil pump relief valve; 4. Sample oil for metal content,1.5,"220-3091,389-1985",2
E402-1,Critical,Engine,Oil Pump,Engine oil pressure critically low under load causing shutdown,Cat D8,Oil pump gear failure; Oil pickup tube obstruction; Crankshaft bearing failure,1. Check oil level immediately; 2. Install mechanical pressure gauge; 3. Drop oil pan and inspect pickup screen; 4. Check pump drive gear; 5. Analyze oil sample,6.0,"389-1985,457-2318,174-6862",3
E501-1,Warning,Engine,Diesel Particulate Filter,DPF regeneration incomplete after three consecutive attempts,Cat 330,Excessive soot loading; DPF outlet temp sensor fault; Dosing valve malfunction; Frequent short duty cycles,1. Check DPF soot load percentage via ET; 2. Verify exhaust temp sensors; 3. Inspect diesel dosing valve; 4. Force manual regen and monitor,2.0,"515-2380,341-7601",2
E502-2,Warning,Engine,Diesel Oxidation Catalyst,DOC inlet temperature not reaching regen threshold,Cat 336,DOC substrate deterioration; Inlet temp sensor drift; Fuel dosing insufficient; Exhaust leak before DOC,1. Verify DOC inlet/outlet temp readings; 2. Check fuel dosing injector; 3. Inspect DOC substrate visually; 4. Check for exhaust leaks,3.0,341-7601,3
