incident_id,date,site,machine_model,incident_type,severity,description,root_cause,corrective_action,injuries,lost_work_days
INC-2025-001,2025-06-03,Phoenix I-17 Highway Expansion,Cat 320,Near Miss - Swing Radius,Medium,Excavator swing came within 3 ft of ground worker who entered exclusion zone without authorization,Ground worker bypassed barricades; spotter was on break,Retrained crew on exclusion zones; added second spotter; installed swing radius alarm,0,0
INC-2025-002,2025-06-15,Denver RTD Rail Extension,Cat D6,Rollover on slope,Critical,Dozer rolled onto side while grading a 40% slope after rain; operator wore seatbelt and was uninjured,Slope exceeded safe operating angle; wet soil reduced traction,Implemented mandatory slope measurement before grading; restricted operation after rainfall,0,0
INC-2025-003,2025-06-22,Houston Ship Channel Dredge,Cat 745,Struck-by falling material,High,Rock fell from haul truck bed onto ground worker standing near tailgate during loading,Worker positioned in drop zone; no exclusion zone enforced at load point,Established 50-ft exclusion zone during loading; installed load-area cameras,1,5
INC-2025-004,2025-07-01,Phoenix I-17 Highway Expansion,Cat 140M,Struck-by passing traffic,High,Mirror on grader struck by passing semi-truck that entered work zone; operator uninjured,Inadequate traffic control setup; no barrier between lane and equipment,Added concrete barriers to TCP; repositioned arrow board; filed DOT complaint,0,0
INC-2025-005,2025-07-10,Atlanta Beltline Tunnel,Cat 330,Contact with overhead power line,Critical,Boom contacted 13.8 kV distribution line during trench excavation; no injuries due to proper grounding,Utility locate was 3 days old and line had been rerouted; no spotter assigned,Mandatory same-day utility verify; assigned dedicated spotter for overhead hazards,0,0
INC-2025-006,2025-07-18,Seattle SR 520 Bridge,Cat 336,Ground worker in blind spot,High,Excavator tracked over area where worker had been standing moments before; worker moved just in time,Proximity detection system was disabled for maintenance and not reactivated,Implemented lockout procedure requiring supervisor sign-off to disable PDS,0,0
INC-2025-007,2025-07-25,Denver RTD Rail Extension,Cat 950M,Struck-by during loading,Medium,Loader bucket dropped partial load on haul truck cab during loading; cracked windshield,Worn bucket pin allowed excessive play causing spillage,Added bucket pin inspection to daily pre-op checklist; replaced worn pins fleet-wide,0,0
INC-2025-008,2025-08-02,Phoenix I-17 Highway Expansion,Cat CS56B,Noise exposure exceeding 85 dBA,Low,Noise monitoring revealed compactor operator exposed to 93 dBA over 10-hr shift,Cab door seal deteriorated; operator kept window open due to broken A/C,Repaired A/C and door seal; issued dual hearing protection; reduced shift to 8 hrs,0,0
INC-2025-009,2025-08-14,Houston Ship Channel Dredge,Cat 320,Near Miss - Swing Radius,Medium,Excavator swung into parked pickup truck that was inside exclusion zone,Vehicle parked in exclusion zone overnight; not spotted during morning walk-around,Implemented dawn perimeter sweep; added physical barriers with reflective markers,0,0
INC-2025-010,2025-08-20,Atlanta Beltline Tunnel,Cat MD6250,Dust inhalation from drilling,High,Three workers reported coughing and eye irritation from silica dust during rock drilling,Dust collector filter was clogged; water injection pump had failed the previous day,Replaced dust collector; repaired water pump; implemented daily dust monitoring,0,0
